SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining
1,25,0.5,2.00%,100.00%,False,0
2,25,5.2,11.40%,100.00%,False,0
3,25,1.5,9.60%,100.00%,False,0
4,25,50,57.20%,100.00%,False,0
5,25,0,45.76%,80.00%,False,0
6,25,1.5,39.13%,83.33%,False,0
7,25,50,62.11%,85.71%,False,0
8,25,0,54.35%,75.00%,False,0
9,25,0,48.31%,66.67%,False,0
10,25,11.5,48.08%,70.00%,False,0
11,25,100,80.07%,72.73%,False,10
12,25,0,73.40%,66.67%,True,9
13,25,0,67.75%,61.54%,True,8
14,25,0,62.91%,57.14%,True,7
15,25,0,58.72%,53.33%,True,6
16,25,0,55.05%,50.00%,True,5
17,25,19.5,56.40%,52.94%,True,4
18,25,0,53.27%,50.00%,True,3
19,25,15,53.62%,52.63%,True,2
20,25,50,60.94%,55.00%,True,1
21,25,0,58.04%,52.38%,True,0
22,25,100,73.58%,54.55%,False,10
23,25,15,72.99%,56.52%,True,9
24,25,0,69.95%,54.17%,True,8
25,25,4.5,67.87%,56.00%,True,7
26,25,0,65.26%,53.85%,True,6
27,25,0,62.84%,51.85%,True,5
28,25,4.5,61.24%,53.57%,True,4
29,25,0,59.13%,51.72%,True,3
30,25,1.5,57.36%,53.33%,True,2
31,25,0,55.51%,51.61%,True,1
32,25,0,53.77%,50.00%,True,0
33,25,0,52.15%,48.48%,False,0
34,25,10,51.79%,50.00%,False,0
35,25,7.5,51.17%,51.43%,False,0
36,25,5,50.30%,52.78%,False,0
37,25,0.2,48.96%,54.05%,False,0
38,25,10,48.73%,55.26%,False,0
39,25,5,47.99%,56.41%,False,0
40,25,51.5,51.94%,57.50%,False,0
41,25,0,50.67%,56.10%,False,0
42,25,50,54.23%,57.14%,False,0
43,25,55,58.08%,58.14%,False,0
44,25,50,61.31%,59.09%,False,0
45,25,0,59.95%,57.78%,False,0
46,25,0,58.64%,56.52%,False,0
47,25,0.2,57.41%,57.45%,False,0
48,25,100,64.55%,58.33%,False,10
49,25,0,63.23%,57.14%,True,9
50,25,0,61.97%,56.00%,True,8
51,25,15,61.93%,56.86%,True,7
52,25,0,60.74%,55.77%,True,6
53,25,0,59.59%,54.72%,True,5
54,25,0,58.49%,53.70%,True,4
55,25,0,57.43%,52.73%,True,3
56,25,0.6000000000000001,56.44%,53.57%,True,2
57,25,0,55.45%,52.63%,True,1
58,25,0,54.50%,51.72%,True,0
59,25,0,53.57%,50.85%,False,0
60,25,0,52.68%,50.00%,False,0
61,25,50,55.10%,50.82%,False,0
62,25,0,54.21%,50.00%,False,0
63,25,50,56.52%,50.79%,False,0
64,25,0,55.64%,50.00%,False,0
65,25,5.5,55.12%,50.77%,False,0
66,25,0,54.28%,50.00%,False,0
67,25,50,56.46%,50.75%,False,0
68,25,10.5,56.25%,51.47%,False,0
69,25,0,55.43%,50.72%,False,0
70,25,0,54.64%,50.00%,False,0
71,25,1.5,53.95%,50.70%,False,0
72,25,0,53.21%,50.00%,False,0
73,25,100,57.96%,50.68%,False,10
74,25,4.5,57.42%,51.35%,True,9
75,25,100,61.98%,52.00%,True,8
76,25,0,61.17%,51.32%,True,7
77,25,0,60.37%,50.65%,True,6
78,25,0,59.60%,50.00%,True,5
79,25,15,59.61%,50.63%,True,4
80,25,0,58.86%,50.00%,True,3
81,25,1.5,58.21%,50.62%,True,2
82,25,0,57.50%,50.00%,True,1
83,25,0,56.80%,49.40%,True,0
84,25,100,60.89%,50.00%,False,10
85,25,0,60.17%,49.41%,True,9
86,25,50,61.80%,50.00%,True,8
87,25,0,61.09%,49.43%,True,7
88,25,15,61.08%,50.00%,True,6
89,25,0,60.39%,49.44%,True,5
90,25,0,59.72%,48.89%,True,4
91,25,0.6000000000000001,59.09%,49.45%,True,3
92,25,0,58.45%,48.91%,True,2
93,25,1.5,57.88%,49.46%,True,1
94,25,1.5,57.33%,50.00%,True,0
95,25,0,56.73%,49.47%,False,0
96,25,0,56.14%,48.96%,False,0
97,25,5.2,55.77%,49.48%,False,0
98,25,0.2,55.21%,50.00%,False,0
99,25,0,54.65%,49.49%,False,0
100,25,625,79.11%,50.00%,False,0
101,25,5,78.52%,50.50%,False,0
102,25,0,77.75%,50.00%,False,0
103,25,50.7,78.97%,50.49%,False,0
104,25,0,78.21%,50.00%,False,0
105,25,0.2,77.47%,50.48%,False,0
106,25,0.5,76.76%,50.94%,False,0
107,25,0,76.04%,50.47%,False,0
108,25,630,98.67%,50.93%,False,0
109,25,0,97.77%,50.46%,False,0
110,25,5.2,97.07%,50.91%,False,0
111,25,0,96.19%,50.45%,False,0
112,25,105.2,99.09%,50.89%,False,0
113,25,0,98.21%,50.44%,False,0
114,25,50,99.11%,50.88%,False,0
115,25,0,98.24%,50.43%,False,0
116,25,1.5,97.45%,50.86%,False,0
117,25,0,96.62%,50.43%,False,0
118,25,0,95.80%,50.00%,False,0
119,25,0,94.99%,49.58%,False,0
120,25,50,95.87%,50.00%,False,0
121,25,100,98.38%,50.41%,False,0
122,25,0,97.57%,50.00%,False,0
123,25,0,96.78%,49.59%,False,0
124,25,0,96.00%,49.19%,False,0
125,25,50,96.83%,49.60%,False,0
126,25,100,99.24%,50.00%,False,0
127,25,0,98.46%,49.61%,False,0
128,25,10,98.00%,50.00%,False,0
129,25,1.5,97.29%,50.39%,False,0
130,25,0.2,96.54%,50.77%,False,0
131,25,0,95.81%,50.38%,False,0
132,25,50,96.60%,50.76%,False,0
133,25,5.2,96.03%,51.13%,False,0
134,25,0,95.31%,50.75%,False,0
135,25,50,96.09%,51.11%,False,0
136,25,0,95.38%,50.74%,False,0
137,25,0,94.68%,50.36%,False,0
138,25,0,94.00%,50.00%,False,0
139,25,0,93.32%,49.64%,False,0
140,25,100,95.51%,50.00%,False,0
141,25,0,94.83%,49.65%,False,0
142,25,100,96.98%,50.00%,False,0
143,25,50,97.70%,50.35%,False,0
144,25,60,98.69%,50.69%,False,0
145,25,0,98.01%,50.34%,False,0
146,25,5,97.48%,50.68%,False,0
147,25,0.5,96.83%,51.02%,False,0
148,25,0,96.17%,50.68%,False,0
149,25,0,95.53%,50.34%,False,0
150,25,0,94.89%,50.00%,False,0
151,25,5,94.39%,50.33%,False,0
152,25,50,95.09%,50.66%,False,0
153,25,0,94.47%,50.33%,False,0
154,25,0,93.85%,50.00%,False,0
155,25,100,95.83%,50.32%,False,0
156,25,0,95.22%,50.00%,False,0
157,25,0,94.61%,49.68%,False,0
158,25,0,94.01%,49.37%,False,0
159,25,0,93.42%,49.06%,False,0
160,25,0,92.83%,48.75%,False,0
161,25,10,92.51%,49.07%,False,0
162,25,0,91.94%,48.77%,False,0
163,25,0,91.37%,48.47%,False,0
164,25,0,90.81%,48.17%,False,0
165,25,50,91.48%,48.48%,False,0
166,25,0,90.93%,48.19%,False,0
167,25,0,90.38%,47.90%,False,0
168,25,0,89.84%,47.62%,False,0
169,25,1.5,89.35%,47.93%,False,0
170,25,7.5,89.00%,48.24%,False,0
171,25,0,88.48%,47.95%,False,0
172,25,10,88.20%,48.26%,False,0
173,25,50,88.84%,48.55%,False,0
174,25,0,88.33%,48.28%,False,0
175,25,0,87.83%,48.00%,False,0
176,25,50,88.46%,48.30%,False,0
177,25,0,87.96%,48.02%,False,0
178,25,50,88.59%,48.31%,False,0
179,25,100,90.33%,48.60%,False,0
180,25,50,90.94%,48.89%,False,0
181,25,0,90.44%,48.62%,False,0
182,25,0.5,89.95%,48.90%,False,0
183,25,5,89.57%,49.18%,False,0
184,25,110,91.48%,49.46%,False,0
185,25,0,90.98%,49.19%,False,0
186,25,2.5,90.55%,49.46%,False,0
187,25,0,90.06%,49.20%,False,0
188,25,0,89.58%,48.94%,False,0
189,25,0,89.11%,48.68%,False,0
190,25,0,88.64%,48.42%,False,0
191,25,0,88.18%,48.17%,False,0
192,25,0.2,87.72%,48.44%,False,0
193,25,0,87.27%,48.19%,False,0
194,25,50,87.85%,48.45%,False,0
195,25,0,87.40%,48.21%,False,0
196,25,0,86.95%,47.96%,False,0
197,25,55,87.63%,48.22%,False,0
198,25,0,87.18%,47.98%,False,0
199,25,0,86.75%,47.74%,False,0
200,25,10,86.51%,48.00%,False,0